id,train_or_test,cap_shape,shape,sColour,is_imputed,sColour_mode,sColour_smart
4134,test,x,e,n,no,n,n
4135,test,f,t,w,no,w,w
4136,test,x,e,k,no,k,k
4137,test,f,t,k,no,k,k
4138,test,x,e,h,yes,w,h
4139,test,x,t,w,no,w,w
4140,test,x,e,h,yes,w,h
4141,test,x,e,w,no,w,w
4142,test,f,e,h,no,h,h
4143,test,k,t,w,no,w,w
4144,test,b,e,w,yes,w,n
4145,train,f,t,h,no,h,h
4146,test,f,e,h,no,h,h
4147,test,f,t,h,yes,w,n
4148,test,x,e,h,no,h,h
4149,test,x,t,n,no,n,n
4150,test,b,e,r,no,r,r
4151,test,b,e,n,no,n,n
4152,test,f,e,n,no,n,n
4153,test,k,t,w,no,w,w
4154,test,f,e,r,no,r,r
4155,test,f,t,n,no,n,n
4156,test,x,t,u,no,u,u
4157,test,x,e,k,no,k,k
4158,train,f,e,n,no,n,n
4159,test,x,t,k,no,k,k
4160,test,x,t,k,no,k,k
4161,test,x,t,k,no,k,k
4162,test,f,t,w,no,w,w
4163,train,x,e,h,no,h,h
4164,test,f,e,h,yes,w,h
4165,train,x,e,h,no,h,h
4166,test,k,t,w,yes,w,w
4167,train,f,e,n,no,n,n
4168,test,f,t,k,no,k,k
4169,test,x,e,w,no,w,w
4170,train,k,t,w,no,w,w
4171,test,f,e,k,no,k,k
4172,test,x,e,n,no,n,n
4173,train,x,t,k,no,k,k
4174,train,x,t,k,yes,w,n
4175,test,x,t,k,no,k,k
4176,train,k,t,w,yes,w,w
4177,test,f,t,n,yes,w,n
4178,test,x,t,k,yes,w,n
4179,test,x,t,h,no,h,h
4180,test,b,e,n,no,n,n
4181,test,f,e,h,no,h,h
4182,test,f,t,w,yes,w,n
4183,test,x,t,k,no,k,k
4184,test,f,t,h,no,h,h
4185,train,f,t,w,no,w,w
4186,test,x,t,k,yes,w,n
4187,train,f,e,h,yes,w,h
4188,test,f,t,n,no,n,n
4189,test,f,t,n,no,n,n
4190,test,f,t,k,no,k,k
4191,test,b,e,r,no,r,r
4192,test,f,t,w,no,w,w
4193,test,k,e,y,no,y,y
4194,test,k,t,w,no,w,w
4195,test,f,t,w,no,w,w
4196,test,x,e,n,no,n,n
4197,train,x,t,w,no,w,w
4198,test,b,e,n,no,n,n
4199,test,f,e,b,no,b,b
4200,test,f,t,k,no,k,k
4201,test,f,t,n,no,n,n
4202,test,f,t,k,no,k,k
4203,test,f,e,h,no,h,h
4204,test,f,e,h,no,h,h
4205,train,x,t,w,no,w,w
4206,train,f,t,n,no,n,n
4207,train,b,e,w,yes,w,n
4208,test,x,t,w,no,w,w
4209,test,x,t,w,no,w,w
4210,test,s,e,k,yes,w,n
4211,test,f,t,n,no,n,n
4212,test,f,t,k,no,k,k
4213,test,x,e,h,yes,w,h
4214,train,x,e,n,no,n,n
4215,test,x,t,w,yes,w,n
4216,test,f,e,r,no,r,r
4217,test,f,e,h,no,h,h
4218,test,k,e,w,yes,w,w
4219,train,f,e,h,yes,w,h
4220,test,x,t,w,no,w,w
4221,test,x,t,k,no,k,k
4222,train,f,t,w,no,w,w
4223,test,f,t,k,no,k,k
4224,test,x,e,h,no,h,h
4225,test,f,t,w,yes,w,n
4226,test,f,e,r,no,r,r
4227,test,c,e,w,no,w,w
4228,test,f,e,h,no,h,h
4229,train,x,e,n,no,n,n
4230,test,f,t,u,no,u,u
4231,test,x,e,h,yes,w,h
4232,test,f,t,k,no,k,k
4233,train,f,t,k,no,k,k
4234,test,f,e,h,no,h,h
4235,test,x,t,w,no,w,w
4236,test,f,t,n,no,n,n
4237,test,b,e,w,no,w,w
4238,test,f,e,h,no,h,h
4239,test,x,t,k,no,k,k
4240,test,x,t,n,no,n,n
4241,train,f,t,k,no,k,k
4242,test,x,e,h,no,h,h
4243,train,x,t,w,no,w,w
4244,test,x,t,k,no,k,k
4245,test,f,e,h,yes,w,h
4246,test,x,e,n,no,n,n
4247,train,k,e,b,no,b,b
4248,test,f,t,w,yes,w,n
4249,test,x,t,w,yes,w,n
4250,test,f,t,n,no,n,n
4251,test,k,t,w,no,w,w
4252,test,f,t,k,yes,w,n
4253,test,b,e,w,yes,w,n
4254,train,x,e,k,no,k,k
4255,test,f,t,k,no,k,k
4256,train,f,e,h,yes,w,h
4257,test,x,e,h,no,h,h
4258,test,f,e,h,no,h,h
4259,train,x,e,h,no,h,h
4260,test,x,e,k,no,k,k
4261,train,f,t,n,no,n,n
4262,train,x,t,k,no,k,k
4263,test,x,e,k,no,k,k
4264,train,f,t,k,no,k,k
4265,train,k,t,w,no,w,w
4266,test,f,t,k,yes,w,n
4267,test,f,t,k,no,k,k
4268,test,x,t,k,yes,w,n
4269,test,x,t,n,no,n,n
4270,test,f,e,r,no,r,r
4271,test,f,t,n,yes,w,n
4272,test,x,t,w,yes,w,n
4273,train,x,e,b,no,b,b
4274,test,x,e,h,no,h,h
4275,test,f,t,w,no,w,w
4276,test,f,e,r,no,r,r
4277,test,f,t,k,yes,w,n
4278,test,x,t,n,yes,w,n
4279,test,b,e,k,no,k,k
4280,test,k,t,w,no,w,w
4281,test,k,t,w,no,w,w
4282,test,x,t,h,no,h,h
4283,test,k,t,w,no,w,w
4284,train,f,e,h,no,h,h
4285,test,x,t,w,no,w,w
4286,test,x,t,h,no,h,h
4287,test,x,t,w,no,w,w
4288,train,f,e,h,no,h,h
4289,test,k,e,w,no,w,w
4290,train,f,e,h,no,h,h
4291,test,f,e,h,yes,w,h
4292,test,f,t,k,no,k,k
4293,test,f,t,n,no,n,n
4294,train,x,e,h,no,h,h
4295,test,x,t,k,yes,w,n
4296,test,f,t,w,no,w,w
4297,test,x,t,w,no,w,w
4298,test,f,e,h,yes,w,h
4299,test,k,e,w,no,w,w
4300,test,f,t,n,no,n,n
4301,test,k,t,w,yes,w,w
4302,test,x,t,w,no,w,w
4303,train,f,t,n,no,n,n
4304,test,x,e,w,no,w,w
4305,train,k,t,w,no,w,w
4306,train,f,e,h,no,h,h
4307,test,b,e,w,yes,w,n
4308,test,f,t,k,yes,w,n
4309,test,x,t,n,no,n,n
4310,test,x,e,k,no,k,k
4311,train,f,t,n,no,n,n
4312,test,x,t,k,yes,w,n
4313,test,k,t,w,no,w,w
4314,test,x,t,w,no,w,w
4315,test,f,e,h,no,h,h
4316,train,x,e,n,no,n,n
4317,test,x,e,k,no,k,k
4318,test,k,t,w,no,w,w
4319,train,f,t,k,no,k,k
4320,test,f,e,h,no,h,h
4321,test,k,t,w,no,w,w
4322,test,x,t,k,no,k,k
4323,train,x,t,h,yes,w,n
4324,train,f,t,k,no,k,k
4325,test,k,t,w,no,w,w
4326,test,f,t,w,no,w,w
4327,test,x,e,h,no,h,h
4328,test,x,e,w,no,w,w
4329,train,x,t,n,no,n,n
4330,test,f,t,k,no,k,k
4331,test,s,e,k,no,k,k
4332,test,k,e,w,no,w,w
4333,test,f,t,k,no,k,k
4334,test,x,t,n,no,n,n
4335,train,x,t,w,no,w,w
4336,test,f,t,k,no,k,k
4337,train,k,t,w,no,w,w
4338,test,k,t,w,no,w,w
4339,train,f,t,k,no,k,k
4340,test,k,t,w,no,w,w
4341,test,f,t,n,no,n,n
4342,test,f,e,h,no,h,h
4343,test,f,t,k,no,k,k
4344,test,x,t,h,no,h,h
4345,test,f,e,h,yes,w,h
4346,test,f,e,h,no,h,h
4347,test,f,t,n,no,n,n
4348,train,f,e,h,no,h,h
4349,test,f,e,h,no,h,h
4350,test,f,e,n,no,n,n
4351,test,x,e,h,no,h,h
4352,test,f,t,w,no,w,w
4353,test,x,e,h,no,h,h
4354,train,f,e,h,no,h,h
4355,test,f,e,r,no,r,r
4356,train,x,e,w,no,w,w
4357,test,f,t,w,no,w,w
4358,train,x,t,k,no,k,k
4359,test,x,e,h,no,h,h
4360,test,k,e,w,no,w,w
4361,test,x,e,h,yes,w,h
4362,train,f,t,n,no,n,n
4363,test,x,t,n,no,n,n
4364,test,f,t,n,no,n,n
4365,test,k,e,w,no,w,w
4366,train,k,t,w,yes,w,w
4367,test,x,t,w,yes,w,n
4368,test,b,e,w,yes,w,n
4369,test,k,e,w,no,w,w
4370,test,f,e,h,no,h,h
4371,test,f,e,h,no,h,h
4372,test,x,e,h,yes,w,h
4373,test,f,t,n,no,n,n
4374,test,f,e,h,no,h,h
4375,test,f,t,n,no,n,n
4376,test,f,t,k,no,k,k
4377,test,x,t,h,no,h,h
4378,test,f,e,h,no,h,h
4379,test,x,e,h,no,h,h
4380,test,f,t,w,no,w,w
4381,train,f,t,k,yes,w,n
4382,test,b,e,n,no,n,n
4383,test,f,t,h,no,h,h
4384,test,x,t,n,no,n,n
4385,test,f,e,h,no,h,h
4386,test,x,t,w,no,w,w
4387,test,x,e,n,no,n,n
4388,train,x,t,k,no,k,k
4389,test,k,t,w,yes,w,w
4390,test,x,t,n,yes,w,n
4391,test,x,t,k,no,k,k
4392,train,x,e,h,no,h,h
4393,test,f,e,h,no,h,h
4394,train,f,t,w,yes,w,n
4395,test,x,t,k,yes,w,n
4396,train,x,t,k,no,k,k
4397,test,f,e,n,no,n,n
4398,train,x,t,k,no,k,k
4399,test,x,t,n,no,n,n
4400,test,f,e,o,no,o,o
4401,test,f,t,w,no,w,w
4402,test,f,t,w,no,w,w
4403,test,k,t,w,no,w,w
4404,test,f,t,n,no,n,n
4405,test,x,e,h,no,h,h
4406,test,k,t,w,yes,w,w
4407,test,x,e,k,no,k,k
4408,test,f,e,k,no,k,k
4409,train,x,t,n,no,n,n
4410,train,x,e,n,no,n,n
4411,test,b,e,n,yes,w,n
4412,train,f,t,n,no,n,n
4413,test,b,e,k,no,k,k
4414,test,f,e,w,no,w,w
4415,train,k,t,w,no,w,w
4416,test,x,t,n,no,n,n
4417,test,f,t,k,yes,w,n
4418,test,b,e,k,no,k,k
4419,test,x,t,u,yes,w,n
4420,train,x,t,n,no,n,n
4421,train,x,e,k,no,k,k
4422,test,x,e,n,yes,w,h
4423,test,x,e,k,no,k,k
4424,test,b,e,w,yes,w,n
4425,test,x,e,n,no,n,n
4426,test,f,t,n,no,n,n
4427,train,x,t,k,no,k,k
4428,test,f,t,n,no,n,n
4429,test,f,t,k,no,k,k
4430,test,x,t,w,no,w,w
4431,test,x,t,n,yes,w,n
4432,test,f,t,n,no,n,n
4433,test,x,e,h,no,h,h
4434,test,k,t,w,no,w,w
4435,test,x,e,h,no,h,h
4436,test,x,t,k,yes,w,n
4437,train,k,t,w,no,w,w
4438,test,f,e,w,yes,w,h
4439,test,x,e,h,yes,w,h
4440,test,f,t,n,no,n,n
4441,train,x,e,h,no,h,h
4442,test,x,t,w,no,w,w
4443,test,x,t,h,yes,w,n
4444,test,x,e,w,no,w,w
4445,test,x,e,n,no,n,n
4446,train,x,e,n,no,n,n
4447,test,x,t,n,no,n,n
4448,test,k,t,w,no,w,w
4449,train,f,t,w,no,w,w
4450,test,x,t,w,no,w,w
4451,train,f,t,w,yes,w,n
4452,test,f,t,n,no,n,n
4453,test,b,e,n,no,n,n
4454,test,x,t,k,no,k,k
4455,train,x,e,n,no,n,n
4456,test,x,t,w,yes,w,n
4457,test,f,e,y,no,y,y
4458,test,x,t,n,yes,w,n
4459,test,f,e,h,no,h,h
4460,test,x,t,w,no,w,w
4461,train,x,t,k,no,k,k
4462,train,f,e,h,no,h,h
4463,train,f,t,k,no,k,k
4464,test,f,t,w,yes,w,n
4465,test,f,e,w,no,w,w
4466,train,f,e,w,yes,w,h
4467,test,x,e,w,no,w,w
4468,test,x,e,h,no,h,h
4469,test,x,e,n,no,n,n
4470,test,f,t,n,no,n,n
4471,train,f,e,k,no,k,k
4472,test,f,t,n,no,n,n
4473,test,f,e,h,no,h,h
4474,test,f,e,k,no,k,k
4475,train,k,t,w,no,w,w
4476,train,f,t,n,no,n,n
4477,train,x,e,w,no,w,w
4478,test,x,e,n,no,n,n
4479,train,b,e,n,yes,w,n
4480,train,x,t,n,yes,w,n
4481,test,f,e,h,no,h,h
4482,test,f,e,w,no,w,w
4483,test,x,t,k,no,k,k
4484,test,x,t,k,no,k,k
4485,test,x,e,h,no,h,h
4486,test,f,e,h,no,h,h
4487,train,f,e,n,no,n,n
4488,test,x,e,h,no,h,h
4489,train,f,t,k,no,k,k
4490,train,f,t,h,no,h,h
4491,train,f,t,w,no,w,w
4492,test,x,e,h,no,h,h
4493,test,f,e,w,yes,w,h
4494,test,x,t,w,no,w,w
4495,test,x,t,n,no,n,n
4496,test,x,e,h,yes,w,h
4497,train,x,e,h,no,h,h
4498,test,f,t,n,yes,w,n
4499,test,x,t,k,no,k,k
4500,train,x,t,w,no,w,w
4501,test,x,t,w,no,w,w
4502,test,x,e,y,no,y,y
4503,test,x,t,n,no,n,n
4504,test,x,t,n,no,n,n
4505,test,x,t,n,no,n,n
4506,test,x,t,n,no,n,n
4507,test,x,e,n,no,n,n
4508,train,f,t,k,no,k,k
4509,train,f,e,k,yes,w,h
4510,test,f,t,n,yes,w,n
4511,test,k,t,w,no,w,w
4512,test,x,e,k,no,k,k
4513,test,k,t,w,no,w,w
4514,test,x,t,k,no,k,k
4515,train,b,e,k,no,k,k
4516,train,x,t,k,no,k,k
4517,test,x,t,k,no,k,k
4518,test,f,t,n,yes,w,n
4519,test,f,t,n,no,n,n
4520,test,x,t,n,no,n,n
4521,train,x,t,k,no,k,k
4522,test,f,e,w,yes,w,h
4523,train,k,t,w,no,w,w
4524,train,f,t,k,yes,w,n
4525,test,x,e,w,no,w,w
4526,test,x,e,w,no,w,w
4527,train,x,t,n,no,n,n
4528,test,k,t,w,no,w,w
4529,test,f,e,h,no,h,h
4530,test,x,t,w,no,w,w
4531,test,f,t,w,no,w,w
4532,train,f,t,k,no,k,k
4533,test,f,t,k,yes,w,n
4534,train,x,t,w,no,w,w
4535,test,f,e,w,no,w,w
4536,test,x,e,n,no,n,n
4537,test,x,e,n,no,n,n
4538,test,x,t,k,no,k,k
4539,test,x,e,w,yes,w,h
4540,test,b,e,n,yes,w,n
4541,test,f,t,n,no,n,n
4542,test,x,t,k,no,k,k
4543,test,x,e,k,yes,w,h
4544,test,f,e,k,no,k,k
4545,test,x,e,h,no,h,h
4546,train,x,t,k,yes,w,n
4547,test,x,e,n,yes,w,h
4548,test,k,t,w,no,w,w
4549,train,x,e,k,no,k,k
4550,test,f,t,n,yes,w,n
4551,test,k,e,w,yes,w,w
4552,test,x,e,h,yes,w,h
4553,test,x,e,n,no,n,n
4554,train,x,e,n,no,n,n
4555,test,f,t,h,no,h,h
4556,train,f,t,n,no,n,n
4557,test,f,t,n,no,n,n
4558,test,x,t,k,no,k,k
4559,test,x,e,w,no,w,w
4560,test,f,t,w,no,w,w
4561,train,x,t,w,no,w,w
4562,test,k,e,w,no,w,w
4563,train,f,t,n,no,n,n
4564,train,f,t,n,yes,w,n
4565,train,x,e,n,yes,w,h
4566,test,f,e,h,no,h,h
4567,test,f,t,k,no,k,k
4568,test,f,t,w,no,w,w
4569,train,x,e,k,no,k,k
4570,train,x,t,n,no,n,n
4571,test,x,e,h,no,h,h
4572,test,x,e,k,no,k,k
4573,test,f,t,k,yes,w,n
4574,test,f,e,h,no,h,h
4575,test,f,e,r,no,r,r
4576,test,f,e,y,no,y,y
4577,train,f,t,k,no,k,k
4578,test,x,e,h,yes,w,h
4579,test,x,t,w,no,w,w
4580,test,f,t,k,no,k,k
4581,train,x,e,w,no,w,w
4582,test,x,t,k,no,k,k
4583,test,f,t,n,no,n,n
4584,train,f,t,k,no,k,k
4585,test,k,t,w,no,w,w
4586,test,f,t,n,yes,w,n
4587,test,x,e,k,no,k,k
4588,test,x,t,n,no,n,n
4589,train,x,t,n,no,n,n
4590,test,f,t,k,no,k,k
4591,test,x,t,n,no,n,n
4592,train,x,t,h,no,h,h
4593,train,k,t,w,no,w,w
4594,test,x,e,h,no,h,h
4595,test,x,e,k,no,k,k
4596,test,x,e,n,no,n,n
4597,test,x,e,h,no,h,h
4598,test,x,t,n,yes,w,n
4599,test,b,e,k,yes,w,n
4600,test,f,e,h,no,h,h
4601,train,f,t,w,no,w,w
4602,test,k,t,w,yes,w,w
4603,test,b,e,n,no,n,n
4604,train,f,e,w,no,w,w
4605,test,x,e,k,no,k,k
4606,test,x,t,h,no,h,h
4607,test,x,e,k,yes,w,h
4608,train,b,e,k,no,k,k
4609,train,f,t,n,no,n,n
4610,test,f,t,n,no,n,n
4611,test,f,t,k,no,k,k
4612,train,x,e,h,no,h,h
4613,test,f,e,w,no,w,w
4614,test,x,e,h,yes,w,h
4615,test,x,t,k,yes,w,n
4616,test,x,t,k,yes,w,n
4617,train,f,t,n,yes,w,n
4618,train,f,e,h,yes,w,h
4619,test,f,t,w,no,w,w
4620,test,f,t,w,yes,w,n
4621,test,x,e,h,no,h,h
4622,train,k,t,w,yes,w,w
4623,test,k,t,w,no,w,w
4624,test,f,e,w,no,w,w
4625,test,k,e,w,yes,w,w
4626,test,b,e,w,no,w,w
4627,train,x,e,h,no,h,h
4628,test,f,t,k,no,k,k
4629,train,f,t,n,no,n,n
4630,test,x,e,h,no,h,h
4631,test,f,e,h,yes,w,h
4632,test,x,e,k,no,k,k
4633,test,f,e,h,no,h,h
4634,test,x,t,k,yes,w,n
4635,test,f,e,h,no,h,h
4636,test,f,e,n,no,n,n
4637,test,x,t,n,no,n,n
4638,test,x,t,k,no,k,k
4639,test,f,t,h,no,h,h
4640,train,x,e,h,no,h,h
4641,test,x,e,h,no,h,h
4642,test,x,t,n,no,n,n
4643,test,f,t,w,no,w,w
4644,test,x,e,h,no,h,h
4645,train,x,t,n,no,n,n
4646,test,x,e,h,no,h,h
4647,test,x,t,n,no,n,n
4648,test,f,e,h,no,h,h
4649,train,x,t,k,no,k,k
4650,test,x,e,k,no,k,k
4651,train,f,e,h,no,h,h
4652,test,f,e,h,no,h,h
4653,train,x,t,k,no,k,k
4654,test,f,t,h,no,h,h
4655,test,f,t,w,no,w,w
4656,test,k,e,w,no,w,w
4657,train,f,t,n,no,n,n
4658,test,f,t,k,no,k,k
4659,test,x,e,h,yes,w,h
4660,test,f,t,k,no,k,k
4661,test,x,e,h,no,h,h
4662,train,x,t,k,no,k,k
4663,train,x,e,k,yes,w,h
4664,test,f,e,n,no,n,n
4665,train,f,t,n,yes,w,n
4666,test,f,e,k,yes,w,h
4667,train,x,e,h,yes,w,h
4668,test,b,e,k,no,k,k
4669,test,x,e,w,no,w,w
4670,test,x,t,n,no,n,n
4671,test,x,e,h,no,h,h
4672,train,f,t,w,yes,w,n
4673,test,k,t,w,yes,w,w
4674,test,x,t,k,no,k,k
4675,train,x,e,n,no,n,n
4676,train,k,t,w,no,w,w
4677,test,x,e,k,no,k,k
4678,test,x,t,n,no,n,n
4679,test,f,t,w,no,w,w
4680,test,k,t,w,no,w,w
4681,test,x,t,k,no,k,k
4682,train,k,e,w,no,w,w
4683,test,x,t,k,no,k,k
4684,test,x,t,k,no,k,k
4685,train,x,t,k,yes,w,n
4686,test,f,t,k,no,k,k
4687,test,x,t,k,yes,w,n
4688,test,f,e,h,no,h,h
4689,test,x,e,w,no,w,w
4690,train,x,e,k,no,k,k
4691,train,x,t,h,yes,w,n
4692,test,x,t,k,no,k,k
4693,test,b,e,k,no,k,k
4694,train,f,e,h,no,h,h
4695,test,x,e,h,no,h,h
4696,test,x,e,n,yes,w,h
4697,train,f,e,h,no,h,h
4698,test,x,t,k,no,k,k
4699,test,x,t,k,yes,w,n
4700,test,k,t,w,no,w,w
4701,train,x,e,n,no,n,n
4702,train,x,t,k,no,k,k
4703,test,f,t,n,no,n,n
4704,test,f,e,h,no,h,h
4705,test,x,t,n,yes,w,n
4706,test,x,e,h,no,h,h
4707,test,f,t,k,no,k,k
4708,train,x,e,h,no,h,h
4709,train,x,e,h,no,h,h
4710,train,f,e,h,no,h,h
4711,train,k,e,w,no,w,w
4712,test,k,t,w,no,w,w
4713,test,k,t,w,no,w,w
4714,train,x,e,k,yes,w,h
4715,train,x,t,k,yes,w,n
4716,train,f,t,k,no,k,k
4717,train,f,e,h,no,h,h
4718,test,f,e,h,no,h,h
4719,test,x,t,k,no,k,k
4720,test,f,e,k,no,k,k
4721,test,x,e,n,no,n,n
4722,test,f,e,h,no,h,h
4723,train,x,e,h,no,h,h
4724,train,x,t,w,yes,w,n
4725,train,x,e,h,no,h,h
4726,train,x,t,n,yes,w,n
4727,test,f,t,n,no,n,n
4728,test,b,e,k,no,k,k
4729,test,b,e,k,no,k,k
4730,test,b,e,n,yes,w,n
4731,test,x,t,w,no,w,w
4732,train,f,e,h,yes,w,h
4733,test,k,t,w,no,w,w
4734,train,f,e,w,no,w,w
4735,test,f,e,h,no,h,h
4736,test,x,e,k,no,k,k
4737,test,x,t,k,no,k,k
4738,test,x,e,k,no,k,k
4739,test,k,e,w,no,w,w
4740,test,f,t,h,no,h,h
4741,test,f,t,k,no,k,k
4742,test,f,t,h,no,h,h
4743,test,f,t,k,no,k,k
4744,train,f,e,h,no,h,h
4745,test,x,t,w,no,w,w
4746,train,f,t,n,no,n,n
4747,test,f,t,w,no,w,w
4748,train,b,e,r,no,r,r
4749,test,x,e,n,no,n,n
4750,train,x,t,n,no,n,n
4751,train,f,t,n,no,n,n
4752,train,x,e,k,no,k,k
4753,test,x,e,k,no,k,k
4754,test,f,e,y,yes,w,h
4755,train,x,e,n,no,n,n
4756,test,f,t,n,no,n,n
4757,test,f,t,w,no,w,w
4758,test,f,e,n,no,n,n
4759,test,b,e,n,no,n,n
4760,test,f,e,h,no,h,h
4761,test,b,e,n,no,n,n
4762,train,x,t,w,no,w,w
4763,test,x,e,h,yes,w,h
4764,test,x,t,w,yes,w,n
4765,test,k,t,w,yes,w,w
4766,test,x,t,n,no,n,n
4767,train,x,e,h,no,h,h
4768,test,x,t,w,no,w,w
4769,test,f,t,n,no,n,n
4770,test,f,t,w,no,w,w
4771,test,f,t,k,no,k,k
4772,test,x,e,h,no,h,h
4773,test,f,t,w,no,w,w
4774,test,f,t,n,no,n,n
4775,train,x,t,n,no,n,n
4776,test,x,e,n,no,n,n
4777,train,f,t,k,no,k,k
4778,test,k,e,w,no,w,w
4779,test,f,t,k,no,k,k
4780,train,x,e,h,no,h,h
4781,test,x,e,w,no,w,w
4782,train,f,t,h,yes,w,n
4783,test,f,e,h,no,h,h
4784,test,x,t,n,no,n,n
4785,test,x,t,w,yes,w,n
4786,test,x,t,n,no,n,n
4787,train,f,e,h,no,h,h
4788,test,k,t,w,no,w,w
4789,test,x,t,k,no,k,k
4790,train,x,e,k,yes,w,h
4791,test,b,e,w,yes,w,n
4792,test,b,e,n,yes,w,n
4793,test,k,e,w,no,w,w
4794,test,x,t,w,no,w,w
4795,test,f,t,k,no,k,k
4796,test,x,e,h,no,h,h
4797,test,x,e,w,no,w,w
4798,test,x,t,k,no,k,k
4799,test,x,t,n,no,n,n
4800,test,f,t,k,no,k,k
4801,test,b,e,k,no,k,k
4802,test,f,t,k,no,k,k
4803,test,f,e,k,no,k,k
4804,test,k,t,w,yes,w,w
4805,test,f,t,n,yes,w,n
4806,test,x,t,n,no,n,n
4807,test,f,t,k,no,k,k
4808,test,f,e,h,yes,w,h
4809,test,x,e,h,no,h,h
4810,train,f,t,w,yes,w,n
4811,train,f,e,h,yes,w,h
4812,test,f,t,w,no,w,w
4813,test,b,e,o,yes,w,n
4814,test,x,t,n,no,n,n
4815,test,x,t,w,no,w,w
4816,test,x,t,w,no,w,w
4817,test,k,t,w,no,w,w
4818,test,x,e,w,no,w,w
4819,test,k,t,w,yes,w,w
4820,test,f,e,n,no,n,n
4821,test,x,t,k,no,k,k
4822,train,x,e,w,no,w,w
4823,train,k,t,w,yes,w,w
4824,test,f,t,k,yes,w,n
4825,test,x,t,k,no,k,k
4826,test,f,t,k,no,k,k
4827,test,f,t,n,yes,w,n
4828,test,f,t,w,no,w,w
4829,test,k,t,w,no,w,w
4830,train,x,e,w,no,w,w
4831,train,x,t,k,no,k,k
4832,test,x,t,w,no,w,w
4833,train,x,e,n,no,n,n
4834,test,f,t,w,no,w,w
4835,test,x,t,w,no,w,w
4836,train,f,t,n,no,n,n
4837,test,f,t,k,no,k,k
4838,test,b,e,w,no,w,w
4839,test,f,e,w,no,w,w
4840,test,f,t,w,yes,w,n
4841,test,x,t,n,no,n,n
4842,test,x,t,k,no,k,k
4843,test,x,t,k,no,k,k
4844,test,x,e,h,no,h,h
4845,test,f,t,n,no,n,n
4846,test,k,e,w,no,w,w
4847,train,x,e,w,yes,w,h
4848,train,x,t,k,no,k,k
4849,test,f,t,u,yes,w,n
4850,test,b,e,w,no,w,w
4851,test,f,e,h,no,h,h
4852,test,f,e,o,no,o,o
4853,test,x,e,h,no,h,h
4854,test,x,t,n,no,n,n
4855,train,f,t,h,no,h,h
4856,train,b,e,k,no,k,k
4857,train,b,e,k,no,k,k
4858,test,f,e,y,no,y,y
4859,train,f,t,w,no,w,w
4860,test,f,t,n,no,n,n
4861,train,x,e,n,no,n,n
4862,test,f,t,n,no,n,n
4863,test,x,t,k,yes,w,n
4864,test,f,t,w,no,w,w
4865,test,x,t,w,no,w,w
4866,train,x,t,n,no,n,n
4867,train,x,e,k,no,k,k
4868,train,k,t,w,no,w,w
4869,train,k,t,w,no,w,w
4870,train,x,e,h,no,h,h
4871,train,x,e,h,no,h,h
4872,test,f,t,n,no,n,n
4873,train,x,t,n,yes,w,n
4874,test,x,t,n,yes,w,n
4875,test,f,e,w,no,w,w
4876,test,x,e,h,no,h,h
4877,train,f,t,k,no,k,k
4878,test,f,t,w,no,w,w
4879,test,k,t,w,no,w,w
4880,train,x,t,w,yes,w,n
4881,train,x,t,n,no,n,n
4882,train,k,t,w,no,w,w
4883,train,f,t,k,no,k,k
4884,test,x,e,w,yes,w,h
4885,test,k,t,w,no,w,w
4886,test,k,t,w,no,w,w
4887,test,x,t,n,yes,w,n
4888,test,x,t,n,no,n,n
4889,test,b,e,n,no,n,n
4890,test,k,t,w,yes,w,w
4891,test,f,t,h,no,h,h
4892,train,f,e,h,yes,w,h
4893,test,x,e,n,yes,w,h
4894,test,f,e,k,no,k,k
4895,test,f,e,k,no,k,k
4896,test,f,e,h,yes,w,h
4897,train,x,e,k,no,k,k
4898,train,x,t,n,yes,w,n
4899,test,k,e,w,no,w,w
4900,test,x,e,h,no,h,h
4901,test,x,t,n,no,n,n
4902,test,x,t,k,no,k,k
4903,train,x,e,h,no,h,h
4904,train,f,t,w,no,w,w
4905,test,f,t,n,yes,w,n
4906,train,f,e,h,no,h,h
4907,test,f,e,h,no,h,h
4908,test,b,e,w,no,w,w
4909,test,x,e,h,no,h,h
4910,train,f,e,k,no,k,k
4911,test,k,t,w,no,w,w
4912,test,x,t,n,no,n,n
4913,test,x,t,w,no,w,w
4914,train,f,e,k,no,k,k
4915,train,x,t,n,no,n,n
4916,train,x,t,w,no,w,w
4917,train,x,e,k,no,k,k
4918,test,f,t,w,yes,w,n
4919,test,x,e,k,no,k,k
4920,test,x,e,k,no,k,k
4921,test,x,t,k,no,k,k
4922,test,x,e,n,no,n,n
4923,test,x,e,h,no,h,h
4924,train,f,t,n,no,n,n
4925,test,x,t,n,no,n,n
4926,test,x,t,w,no,w,w
4927,test,f,t,n,no,n,n
4928,test,f,t,n,no,n,n
4929,test,x,t,n,yes,w,n
4930,test,k,e,w,no,w,w
4931,train,x,t,n,no,n,n
4932,train,x,t,n,no,n,n
4933,test,x,e,h,no,h,h
4934,train,k,t,w,no,w,w
4935,test,x,e,h,no,h,h
4936,test,x,t,w,no,w,w
4937,train,x,e,k,no,k,k
4938,test,k,t,w,no,w,w
4939,test,f,e,h,no,h,h
4940,test,x,e,n,no,n,n
4941,test,f,e,h,no,h,h
4942,test,f,e,k,no,k,k
4943,test,f,e,h,no,h,h
4944,test,x,e,h,no,h,h
